card_id,customer_code,card_number,card_type,product_type,issue_date,expire_date,activation_date,credit_limit,available_credit,outstanding_balance,minimum_payment,due_date,interest_rate,card_status
CARD_A_000012_04,A_000012,****-****-****-6204,CREDIT,QUOC_TE,2020-11-13,2024-11-12,2020-11-20,182369011.60602763,148757581.7722457,33611429.833781935,1680571.491689097,2020-12-20,23.54,ACTIVE
CARD_A_000013_01,A_000013,****-****-****-3519,CREDIT,QUOC_TE,2020-11-21,2024-11-20,2020-11-23,153295356.7092128,131251376.50873569,22043980.20047712,1102199.010023856,2020-12-20,21.48,ACTIVE
CARD_A_000013_02,A_000013,****-****-****-8958,CREDIT,QUOC_TE,2023-01-03,2026-01-02,2023-01-07,176846136.03413823,119241687.93728787,57604448.096850365,2880222.4048425183,2023-02-20,23.07,ACTIVE
CARD_A_000013_03,A_000013,****-****-****-9814,DEBIT,QUOC_TE,2022-11-10,2026-11-09,2022-11-18,0.0,0.0,0.0,0.0,2022-12-20,19.11,ACTIVE
CARD_A_000014_01,A_000014,****-****-****-1774,CREDIT,NOI_DIA,2021-03-25,2024-03-24,2021-03-26,123223569.18430735,57040030.957397506,66183538.226909846,3309176.9113454926,2021-04-20,22.46,ACTIVE
CARD_A_000014_02,A_000014,****-****-****-5293,CREDIT,QUOC_TE,2022-05-14,2026-05-13,2022-05-16,180679026.57522205,127462020.74370478,53217005.831517264,2660850.2915758635,2022-06-20,18.73,ACTIVE
CARD_A_000014_03,A_000014,****-****-****-5215,CREDIT,NOI_DIA,2023-07-06,2026-07-05,2023-07-07,182337794.88455263,151068099.98514372,31269694.899408896,1563484.7449704448,2023-08-20,19.18,ACTIVE
CARD_A_000015_01,A_000015,****-****-****-8889,CREDIT,QUOC_TE,2024-03-16,2028-03-15,2024-03-28,141701320.52598518,126528252.2049996,15173068.320985582,758653.4160492792,2024-04-20,18.51,ACTIVE
CARD_A_000015_02,A_000015,****-****-****-5299,CREDIT,QUOC_TE,2020-12-24,2023-12-24,2020-12-29,174084431.52932352,62815306.6142924,111269124.91503112,5563456.245751556,2021-01-20,19.18,ACTIVE
CARD_A_000015_03,A_000015,****-****-****-4427,CREDIT,QUOC_TE,2022-11-10,2025-11-09,2022-11-17,190582736.4222042,120542049.64962119,70040686.77258301,3502034.3386291508,2022-12-20,23.72,ACTIVE
CARD_A_000015_04,A_000015,****-****-****-7360,CREDIT,QUOC_TE,2024-03-26,2028-03-25,2024-03-29,122920830.38984321,39980011.26877101,82940819.1210722,4147040.9560536104,2024-04-20,24.78,ACTIVE
CARD_A_000016_01,A_000016,****-****-****-3082,CREDIT,NOI_DIA,2024-11-23,2028-11-22,,175470297.54056463,61204802.96887706,114265494.57168756,5713274.728584379,2024-12-20,18.91,ACTIVE
CARD_A_000016_02,A_000016,****-****-****-2292,CREDIT,NOI_DIA,2020-09-05,2024-09-04,2020-09-19,118248126.20276192,101139570.9655484,17108555.23721352,855427.761860676,2020-10-20,21.8,ACTIVE
CARD_A_000017_01,A_000017,****-****-****-5720,CREDIT,NOI_DIA,2022-11-03,2026-11-02,2022-11-08,164795538.01137036,76730213.1615458,88065324.84982456,4403266.2424912285,2022-12-20,21.66,ACTIVE
CARD_A_000017_02,A_000017,****-****-****-1506,DEBIT,NOI_DIA,2024-11-26,2028-11-25,2024-11-30,0.0,0.0,0.0,0.0,2024-12-20,23.81,ACTIVE
CARD_A_000017_03,A_000017,****-****-****-4232,CREDIT,NOI_DIA,2022-12-21,2025-12-20,2022-12-25,168639029.6595659,120848791.09977828,47790238.559787616,2389511.927989381,2023-01-20,19.8,ACTIVE
CARD_A_000017_04,A_000017,****-****-****-2779,DEBIT,QUOC_TE,2021-12-23,2025-12-22,2022-01-16,0.0,0.0,0.0,0.0,2022-01-20,19.72,ACTIVE
CARD_A_000018_01,A_000018,****-****-****-9117,DEBIT,QUOC_TE,2021-03-01,2026-02-28,2021-03-06,0.0,0.0,0.0,0.0,2021-04-20,18.6,BLOCKED
CARD_A_000018_02,A_000018,****-****-****-4585,CREDIT,QUOC_TE,2021-01-17,2025-01-16,2021-01-22,155302028.51409337,59837690.83940704,95464337.67468633,4773216.883734317,2021-02-20,23.76,ACTIVE
CARD_A_000019_01,A_000019,****-****-****-8060,CREDIT,QUOC_TE,2024-10-02,2028-10-01,2024-10-05,196178413.6447444,66573479.41956855,129604934.22517584,6480246.711258792,2024-11-20,20.2,ACTIVE
CARD_A_000019_02,A_000019,****-****-****-3709,CREDIT,NOI_DIA,2024-07-02,2027-07-02,2024-07-06,119647632.75633082,104121185.33660714,15526447.41972367,776322.3709861836,2024-08-20,21.68,ACTIVE
CARD_A_000020_01,A_000020,****-****-****-2117,CREDIT,NOI_DIA,2021-02-24,2025-02-23,2021-02-26,119026421.86771159,105087329.97803518,13939091.889676413,696954.5944838207,2021-03-20,24.03,ACTIVE
CARD_A_000020_02,A_000020,****-****-****-5859,DEBIT,QUOC_TE,2023-10-01,2026-09-30,2023-10-07,0.0,0.0,0.0,0.0,2023-11-20,18.49,ACTIVE
CARD_A_000021_01,A_000021,****-****-****-8484,CREDIT,NOI_DIA,2020-12-09,2025-12-08,,133346183.5731391,72511426.6659361,60834756.907203004,3041737.8453601506,2021-01-20,22.91,CLOSED
CARD_A_000021_02,A_000021,****-****-****-6452,CREDIT,NOI_DIA,2024-07-13,2028-07-12,2024-07-16,157022679.55888,83970565.8114911,73052113.7473889,3652605.6873694453,2024-08-20,24.96,ACTIVE
CARD_A_000022_01,A_000022,****-****-****-6157,CREDIT,QUOC_TE,2021-01-02,2026-01-01,2021-01-15,154826007.3196168,118948020.23996875,35877987.07964804,1793899.353982402,2021-02-20,20.94,LOST
CARD_A_000022_02,A_000022,****-****-****-9466,CREDIT,QUOC_TE,2021-11-03,2025-11-02,2021-11-06,180093659.0697261,108694208.08488004,71399450.98484607,3569972.5492423037,2021-12-20,18.05,ACTIVE
CARD_A_000022_03,A_000022,****-****-****-6522,DEBIT,QUOC_TE,2022-11-05,2027-11-04,2022-11-12,0.0,0.0,0.0,0.0,2022-12-20,22.44,ACTIVE
CARD_A_000023_01,A_000023,****-****-****-5936,CREDIT,QUOC_TE,2022-12-19,2027-12-18,2022-12-26,156286102.3326619,76563419.77081646,79722682.56184544,3986134.128092272,2023-01-20,19.26,ACTIVE
CARD_A_000023_02,A_000023,****-****-****-1711,CREDIT,QUOC_TE,2020-06-05,2025-06-04,2020-06-07,165665746.53909692,82505993.25534987,83159753.28374705,4157987.6641873526,2020-07-20,21.16,ACTIVE
CARD_A_000024_01,A_000024,****-****-****-8029,DEBIT,NOI_DIA,2020-04-21,2025-04-20,2020-04-23,0.0,0.0,0.0,0.0,2020-05-20,21.07,ACTIVE
CARD_A_000024_02,A_000024,****-****-****-2855,CREDIT,QUOC_TE,2024-10-23,2027-10-23,2024-10-28,177223284.08856982,47406106.31612827,129817177.77244155,6490858.888622078,2024-11-20,18.68,ACTIVE
CARD_A_000025_01,A_000025,****-****-****-1642,CREDIT,QUOC_TE,2024-04-16,2028-04-15,2024-04-18,193836178.26084095,57758600.09648973,136077578.16435122,6803878.908217561,2024-05-20,22.5,ACTIVE
CARD_A_000025_02,A_000025,****-****-****-9409,CREDIT,QUOC_TE,2020-11-18,2023-11-18,2020-11-20,186270943.9441746,78628059.9769331,107642883.96724148,5382144.198362075,2020-12-20,24.17,BLOCKED
CARD_A_000025_03,A_000025,****-****-****-8395,CREDIT,NOI_DIA,2023-12-23,2027-12-22,2023-12-28,167049223.08078128,101293112.62778851,65756110.452992775,3287805.522649639,2024-01-20,24.91,BLOCKED
CARD_A_000025_04,A_000025,****-****-****-6784,CREDIT,QUOC_TE,2022-07-26,2025-07-25,2022-07-28,143355594.39361504,65869259.30513021,77486335.08848482,3874316.7544242414,2022-08-20,18.6,ACTIVE
CARD_A_000026_01,A_000026,****-****-****-9834,CREDIT,QUOC_TE,2020-12-04,2024-12-03,2020-12-16,175509121.96361935,41907814.66468832,133601307.29893103,6680065.364946552,2021-01-20,24.19,ACTIVE
CARD_A_000026_02,A_000026,****-****-****-3790,CREDIT,NOI_DIA,2023-12-03,2027-12-02,2023-12-10,132290564.70929885,59369961.147683814,72920603.56161503,3646030.178080752,2024-01-20,20.01,ACTIVE
CARD_A_000026_03,A_000026,****-****-****-1048,CREDIT,QUOC_TE,2022-10-07,2026-10-06,2022-10-09,106423264.49772565,80251927.34229498,26171337.15543068,1308566.857771534,2022-11-20,23.21,ACTIVE
CARD_A_000026_04,A_000026,****-****-****-2734,CREDIT,QUOC_TE,2023-07-10,2028-07-08,2023-07-16,142273568.3843544,101680349.15064478,40593219.23370963,2029660.9616854817,2023-08-20,19.37,ACTIVE
CARD_A_000027_01,A_000027,****-****-****-3483,CREDIT,QUOC_TE,2020-01-25,2025-01-23,2020-01-29,156732615.03552318,122499879.67628545,34232735.35923772,1711636.7679618862,2020-02-20,18.86,ACTIVE
CARD_A_000027_02,A_000027,****-****-****-7476,CREDIT,QUOC_TE,2021-08-30,2025-08-29,2021-09-04,105523699.71964176,39537123.8618469,65986575.85779486,3299328.792889743,2021-09-20,24.63,ACTIVE
CARD_A_000028_01,A_000028,****-****-****-9507,CREDIT,NOI_DIA,2023-01-13,2026-01-12,2023-01-16,103867711.20754535,27126378.84832105,76741332.3592243,3837066.6179612153,2023-02-20,18.63,ACTIVE
CARD_A_000028_02,A_000028,****-****-****-7110,CREDIT,QUOC_TE,2022-04-05,2027-04-04,2022-04-20,139460907.01268464,92635834.9092572,46825072.10342744,2341253.605171372,2022-05-20,23.67,ACTIVE
CARD_A_000028_03,A_000028,****-****-****-4523,CREDIT,QUOC_TE,2020-04-13,2024-04-12,2020-05-01,194102890.56275427,134869897.8296171,59232992.73313715,2961649.636656858,2020-05-20,21.83,ACTIVE
CARD_A_000028_04,A_000028,****-****-****-1822,DEBIT,QUOC_TE,2020-09-06,2025-09-05,2020-09-14,0.0,0.0,0.0,0.0,2020-10-20,22.18,ACTIVE
CARD_A_000029_01,A_000029,****-****-****-1103,CREDIT,NOI_DIA,2024-04-10,2028-04-09,2024-04-14,111988578.92144945,83314507.72970651,28674071.19174294,1433703.559587147,2024-05-20,19.36,ACTIVE
CARD_A_000029_02,A_000029,****-****-****-9013,DEBIT,QUOC_TE,2020-02-29,2024-02-28,2020-03-06,0.0,0.0,0.0,0.0,2020-03-20,22.36,ACTIVE
CARD_A_000030_01,A_000030,****-****-****-8097,DEBIT,NOI_DIA,2020-07-21,2025-07-20,2020-07-24,0.0,0.0,0.0,0.0,2020-08-20,23.17,BLOCKED
CARD_A_000030_02,A_000030,****-****-****-5855,CREDIT,NOI_DIA,2023-06-05,2028-06-03,2023-06-11,132905326.26113096,74433887.60464285,58471438.656488106,2923571.9328244054,2023-07-20,24.84,ACTIVE
CARD_A_000030_03,A_000030,****-****-****-8506,DEBIT,QUOC_TE,2022-10-09,2025-10-08,2022-10-10,0.0,0.0,0.0,0.0,2022-11-20,21.54,ACTIVE
CARD_A_000030_04,A_000030,****-****-****-8028,CREDIT,QUOC_TE,2021-10-17,2026-10-16,2021-10-21,181638821.11143655,60406457.86959502,121232363.24184152,6061618.162092077,2021-11-20,22.81,ACTIVE
CARD_A_000031_01,A_000031,****-****-****-4980,CREDIT,NOI_DIA,2021-02-19,2024-02-19,2021-02-26,125782015.68560028,100864466.16988948,24917549.5157108,1245877.4757855402,2021-03-20,24.82,ACTIVE
CARD_A_000031_02,A_000031,****-****-****-7204,CREDIT,NOI_DIA,2024-01-21,2027-01-20,2024-02-19,178793454.0594331,117452980.17864066,61340473.88079245,3067023.6940396223,2024-02-20,21.43,ACTIVE
CARD_A_000031_03,A_000031,****-****-****-4407,DEBIT,NOI_DIA,2024-04-11,2029-04-10,2024-05-06,0.0,0.0,0.0,0.0,2024-05-20,22.74,ACTIVE
CARD_A_000032_01,A_000032,****-****-****-9441,CREDIT,QUOC_TE,2021-07-15,2025-07-14,2021-07-21,143645785.29005408,111097117.60820442,32548667.681849655,1627433.3840924827,2021-08-20,18.53,ACTIVE
CARD_A_000032_02,A_000032,****-****-****-7427,CREDIT,QUOC_TE,2022-08-02,2025-08-01,2022-08-06,185383544.2572685,73105332.93459389,112278211.3226746,5613910.56613373,2022-09-20,21.48,EXPIRED
CARD_A_000032_03,A_000032,****-****-****-7038,DEBIT,QUOC_TE,2024-09-17,2027-09-17,2024-09-20,0.0,0.0,0.0,0.0,2024-10-20,19.18,LOST
CARD_A_000033_01,A_000033,****-****-****-9501,CREDIT,NOI_DIA,2024-04-05,2027-04-05,2024-04-10,145379546.45166177,35647157.05526218,109732389.39639959,5486619.46981998,2024-05-20,21.68,LOST
CARD_A_000033_02,A_000033,****-****-****-5750,CREDIT,QUOC_TE,2024-05-19,2028-05-18,2024-05-20,100890009.55204633,86291958.27823752,14598051.273808813,729902.5636904407,2024-06-20,18.54,ACTIVE
CARD_A_000034_01,A_000034,****-****-****-5331,DEBIT,QUOC_TE,2024-09-24,2029-09-23,2024-09-29,0.0,0.0,0.0,0.0,2024-10-20,23.68,ACTIVE
CARD_A_000034_02,A_000034,****-****-****-5957,CREDIT,QUOC_TE,2022-05-25,2025-05-24,2022-05-29,108560110.88321067,80015754.15029395,28544356.732916728,1427217.8366458365,2022-06-20,20.1,ACTIVE
CARD_A_000034_03,A_000034,****-****-****-7762,DEBIT,NOI_DIA,2024-06-12,2027-06-12,2024-06-21,0.0,0.0,0.0,0.0,2024-07-20,24.89,ACTIVE
CARD_A_000035_01,A_000035,****-****-****-2033,CREDIT,QUOC_TE,2024-12-27,2028-12-26,2024-12-31,154401924.1719732,116525313.5164946,37876610.6554786,1893830.5327739299,2025-01-20,20.43,ACTIVE
CARD_A_000035_02,A_000035,****-****-****-1140,CREDIT,QUOC_TE,2020-08-08,2023-08-08,2020-08-14,193409764.8340898,72487424.64425449,120922340.1898353,6046117.009491765,2020-09-20,24.89,CLOSED
CARD_A_000036_01,A_000036,****-****-****-2025,CREDIT,QUOC_TE,2023-05-23,2026-05-22,2023-06-02,192720892.74723583,127212248.65297014,65508644.09426571,3275432.2047132854,2023-06-20,20.27,ACTIVE
CARD_A_000036_02,A_000036,****-****-****-9496,CREDIT,NOI_DIA,2023-04-30,2027-04-29,2023-05-01,183360200.26541764,51748535.50114392,131611664.76427372,6580583.238213686,2023-05-20,24.25,ACTIVE
CARD_A_000037_01,A_000037,****-****-****-1828,CREDIT,QUOC_TE,2022-09-01,2027-08-31,2022-09-03,111834060.15785268,35961411.67514205,75872648.48271063,3793632.4241355318,2022-10-20,24.2,ACTIVE
CARD_A_000037_02,A_000037,****-****-****-1116,CREDIT,QUOC_TE,2021-12-07,2026-12-06,2021-12-14,193756256.73132354,75734669.35240525,118021587.37891829,5901079.368945915,2022-01-20,22.76,ACTIVE
CARD_A_000037_03,A_000037,****-****-****-9375,CREDIT,QUOC_TE,2023-11-22,2027-11-21,2023-11-27,113197931.16442922,71751000.36552228,41446930.79890694,2072346.539945347,2023-12-20,25.0,ACTIVE
CARD_A_000038_01,A_000038,****-****-****-6082,DEBIT,NOI_DIA,2022-05-23,2026-05-22,2022-05-24,0.0,0.0,0.0,0.0,2022-06-20,19.38,ACTIVE
CARD_A_000038_02,A_000038,****-****-****-5463,CREDIT,NOI_DIA,2020-02-06,2024-02-05,2020-02-11,143419756.36776367,85661272.91441719,57758483.453346476,2887924.172667324,2020-03-20,24.11,ACTIVE
CARD_A_000039_01,A_000039,****-****-****-6475,CREDIT,NOI_DIA,2022-08-15,2025-08-14,,113048807.66261056,70517711.2769026,42531096.38570796,2126554.819285398,2022-09-20,23.25,EXPIRED
CARD_A_000039_02,A_000039,****-****-****-4227,DEBIT,QUOC_TE,2020-03-16,2023-03-16,2020-03-21,0.0,0.0,0.0,0.0,2020-04-20,19.96,ACTIVE
CARD_A_000040_01,A_000040,****-****-****-5088,DEBIT,QUOC_TE,2020-01-24,2025-01-22,2020-01-27,0.0,0.0,0.0,0.0,2020-02-20,18.34,ACTIVE
CARD_A_000040_02,A_000040,****-****-****-5100,CREDIT,NOI_DIA,2021-01-15,2026-01-14,2021-01-17,191606787.56947482,97899740.80005592,93707046.7694189,4685352.338470945,2021-02-20,20.46,ACTIVE
CARD_A_000040_03,A_000040,****-****-****-4284,CREDIT,QUOC_TE,2022-01-22,2025-01-21,2022-01-26,120889700.14954141,36385466.06089011,84504234.0886513,4225211.704432565,2022-02-20,23.59,ACTIVE
CARD_A_000041_01,A_000041,****-****-****-4278,DEBIT,QUOC_TE,2020-04-25,2025-04-24,2020-05-16,0.0,0.0,0.0,0.0,2020-05-20,23.77,ACTIVE
CARD_A_000041_02,A_000041,****-****-****-1937,CREDIT,NOI_DIA,2021-08-17,2026-08-16,2021-08-24,170525059.75605565,55859891.11743608,114665168.63861957,5733258.431930979,2021-09-20,24.79,LOST
CARD_A_000042_01,A_000042,****-****-****-1025,CREDIT,NOI_DIA,2022-11-21,2027-11-20,2022-11-22,158030160.33388114,115654679.81997931,42375480.51390182,2118774.025695091,2022-12-20,22.28,ACTIVE
CARD_A_000042_02,A_000042,****-****-****-7571,CREDIT,QUOC_TE,2020-06-19,2025-06-18,2020-06-22,170643080.49131182,70669774.23971014,99973306.25160168,4998665.312580084,2020-07-20,24.23,ACTIVE
CARD_A_000042_03,A_000042,****-****-****-2676,DEBIT,QUOC_TE,2020-02-29,2025-02-27,2020-03-02,0.0,0.0,0.0,0.0,2020-03-20,18.29,ACTIVE
CARD_A_000043_01,A_000043,****-****-****-2620,CREDIT,QUOC_TE,2021-11-27,2024-11-26,2021-12-01,151915092.57519788,114397343.42977327,37517749.145424604,1875887.4572712304,2021-12-20,22.84,ACTIVE
CARD_A_000043_02,A_000043,****-****-****-1651,DEBIT,NOI_DIA,2022-01-27,2026-01-26,2022-01-29,0.0,0.0,0.0,0.0,2022-02-20,22.66,ACTIVE
CARD_A_000044_01,A_000044,****-****-****-8761,CREDIT,QUOC_TE,2023-06-24,2028-06-22,2023-06-28,156178934.3361209,134774384.40977642,21404549.926344495,1070227.4963172248,2023-07-20,18.8,ACTIVE
CARD_A_000044_02,A_000044,****-****-****-8792,CREDIT,NOI_DIA,2024-08-22,2027-08-22,2024-09-01,186263141.45410153,59329314.425420746,126933827.02868079,6346691.35143404,2024-09-20,23.74,ACTIVE
CARD_A_000044_03,A_000044,****-****-****-8552,CREDIT,QUOC_TE,2023-06-28,2027-06-27,,168350493.66113013,39824591.37181114,128525902.289319,6426295.11446595,2023-07-20,20.87,ACTIVE
CARD_A_000044_04,A_000044,****-****-****-5390,CREDIT,NOI_DIA,2024-06-22,2027-06-22,2024-06-24,143567336.84266168,71558980.44766757,72008356.39499411,3600417.8197497055,2024-07-20,18.46,INACTIVE
CARD_A_000045_01,A_000045,****-****-****-2754,CREDIT,QUOC_TE,2022-06-26,2025-06-25,2022-07-21,105778495.37565976,23021648.364565417,82756847.01109435,4137842.3505547177,2022-07-20,21.09,ACTIVE
CARD_A_000045_02,A_000045,****-****-****-4121,DEBIT,QUOC_TE,2021-03-10,2025-03-09,2021-03-15,0.0,0.0,0.0,0.0,2021-04-20,24.83,ACTIVE
