tran_id,card_id,card_number,customer_code,card_type,tran_amt_acy,tran_amt_lcy,tran_currency,cr_dr,tran_date,tran_type,tran_type_name,tran_desc,merchant_id,merchant_name,tran_status
TXN_CARD_A_000005_02_000004,CARD_A_000005_02,****-****-****-8450,A_000005,CREDIT,25653055.94,25653055.94,VND,DR,2023-07-02,ONLINE PAYMENT,Payment to Wallet,Payment to Phuc Long Wallet,MERCH_95320,Phuc Long,posted
TXN_CARD_A_000005_02_000005,CARD_A_000005_02,****-****-****-8450,A_000005,CREDIT,62180626.0,62180626.0,VND,DR,2025-09-23,ATM/POS,ATM,ATM Withdrawal at Domino's Pizza,MERCH_91755,Domino's Pizza,posted
TXN_CARD_A_000005_03_000001,CARD_A_000005_03,****-****-****-5895,A_000005,CREDIT,39485156.44,39485156.44,VND,DR,2022-05-18,ONLINE PAYMENT,Payment To Repost,Payment To Dien May Xanh Repost,MERCH_10646,Dien May Xanh,decline service
TXN_CARD_A_000005_03_000002,CARD_A_000005_03,****-****-****-5895,A_000005,CREDIT,81295186.51,81295186.51,VND,DR,2022-12-04,ONLINE PAYMENT,Payment From Wallet,Payment From Aeon Mall Wallet,MERCH_35306,Aeon Mall,posted
TXN_CARD_A_000005_03_000003,CARD_A_000005_03,****-****-****-5895,A_000005,CREDIT,56310907.36,56310907.36,VND,DR,2023-03-27,ONLINE PAYMENT,Payment To Repost,Payment To Highlands Coffee Repost,MERCH_72321,Highlands Coffee,posted
TXN_CARD_A_000005_03_000004,CARD_A_000005_03,****-****-****-5895,A_000005,CREDIT,69333551.9,1733338797.5000002,USD,DR,2023-09-27,ATM/POS,ATM 2Prs,ATM Transaction at Lotte Mart,MERCH_77381,Lotte Mart,posted
TXN_CARD_A_000005_03_000005,CARD_A_000005_03,****-****-****-5895,A_000005,CREDIT,77778128.78,77778128.78,VND,DR,2023-10-25,CASH BY CODE,Cash Dispense (Cardless),Cash Withdrawal at Tiki ATM,MERCH_31122,Tiki,decline service
TXN_CARD_A_000005_03_000006,CARD_A_000005_03,****-****-****-5895,A_000005,CREDIT,64908151.53,1947244545.9,EUR,DR,2024-06-25,OTHER,Note Acceptance,Note Acceptance at 7-Eleven,MERCH_47824,7-Eleven,posted
TXN_CARD_A_000005_03_000007,CARD_A_000005_03,****-****-****-5895,A_000005,CREDIT,65596770.1,65596770.1,VND,DR,2025-09-20,ONLINE PAYMENT,Payment From Wallet,Payment From Shopee Wallet,MERCH_45857,Shopee,posted
TXN_CARD_A_000006_01_000001,CARD_A_000006_01,****-****-****-8476,A_000006,CREDIT,51374462.91,51374462.91,VND,CR,2021-09-07,CREDIT,Payment To Credit Card,Credit Card Payment to Boba,MERCH_53064,Boba,posted
TXN_CARD_A_000006_01_000002,CARD_A_000006_01,****-****-****-8476,A_000006,CREDIT,30306926.76,30306926.76,VND,DR,2022-12-16,ONLINE PAYMENT,Repost Retail,Pizza Hut Retail Payment,MERCH_13361,Pizza Hut,posted
TXN_CARD_A_000006_01_000003,CARD_A_000006_01,****-****-****-8476,A_000006,CREDIT,63308680.58,63308680.58,VND,DR,2023-04-30,ONLINE PAYMENT,Payment to Wallet,Payment to Ding Tea Wallet,MERCH_50107,Ding Tea,posted
TXN_CARD_A_000006_01_000004,CARD_A_000006_01,****-****-****-8476,A_000006,CREDIT,56126741.06,56126741.06,VND,DR,2023-12-29,CASH BY CODE,Cash Dispense (Cardless),Cash Withdrawal at 7-Eleven ATM,MERCH_78568,7-Eleven,posted
TXN_CARD_A_000006_01_000005,CARD_A_000006_01,****-****-****-8476,A_000006,CREDIT,63889818.57,63889818.57,VND,DR,2024-10-27,ONLINE PAYMENT,Payment To Repost,Payment To Tiki Repost,MERCH_60403,Tiki,posted
TXN_CARD_A_000006_01_000006,CARD_A_000006_01,****-****-****-8476,A_000006,CREDIT,22947932.96,22947932.96,VND,DR,2025-09-24,ONLINE PAYMENT,Payment To Repost,Payment To The Gioi Di Dong Repost,MERCH_25783,The Gioi Di Dong,posted
TXN_CARD_A_000006_02_000001,CARD_A_000006_02,****-****-****-2986,A_000006,CREDIT,56773993.43,56773993.43,VND,DR,2023-12-21,CASH BY CODE,Cash Dispense (Cardless),Cash Withdrawal at Koi Thé ATM,MERCH_96636,Koi Thé,posted
TXN_CARD_A_000006_02_000002,CARD_A_000006_02,****-****-****-2986,A_000006,CREDIT,37696792.91,37696792.91,VND,DR,2024-03-05,ATM/POS,ATM,ATM Withdrawal at Tocotoco,MERCH_16721,Tocotoco,posted
TXN_CARD_A_000006_02_000003,CARD_A_000006_02,****-****-****-2986,A_000006,CREDIT,24950211.32,24950211.32,VND,DR,2025-09-28,ONLINE PAYMENT,Payment To Repost,Payment To Domino's Pizza Repost,MERCH_84666,Domino's Pizza,posted
TXN_CARD_A_000006_03_000001,CARD_A_000006_03,****-****-****-2777,A_000006,CREDIT,92075684.85,92075684.85,VND,DR,2021-03-02,ONLINE PAYMENT,Payment From Wallet,Payment From Koi Thé Wallet,MERCH_70457,Koi Thé,posted
TXN_CARD_A_000006_03_000002,CARD_A_000006_03,****-****-****-2777,A_000006,CREDIT,32733739.03,32733739.03,VND,DR,2021-10-06,ONLINE PAYMENT,Repost Retail,Other Retail Payment,MERCH_38917,Other,posted
TXN_CARD_A_000006_03_000003,CARD_A_000006_03,****-****-****-2777,A_000006,CREDIT,28859873.92,865796217.6,EUR,DR,2021-12-10,ATM/POS,ATM 2Prs,ATM Transaction at Other,MERCH_14642,Other,posted
TXN_CARD_A_000006_03_000004,CARD_A_000006_03,****-****-****-2777,A_000006,CREDIT,92633445.24,92633445.24,VND,DR,2023-04-20,ATM/POS,ATM,ATM Withdrawal at Other,MERCH_24739,Other,posted
TXN_CARD_A_000006_03_000005,CARD_A_000006_03,****-****-****-2777,A_000006,CREDIT,42513689.27,42513689.27,VND,DR,2023-12-10,ONLINE PAYMENT,Repost Retail,Trung Nguyen Coffee Retail Payment,MERCH_13986,Trung Nguyen Coffee,posted
TXN_CARD_A_000006_03_000006,CARD_A_000006_03,****-****-****-2777,A_000006,CREDIT,51903956.2,51903956.2,VND,DR,2025-09-17,ATM/POS,ATM,ATM Withdrawal at Lotteria,MERCH_91890,Lotteria,posted
TXN_CARD_A_000006_04_000001,CARD_A_000006_04,****-****-****-8451,A_000006,DEBIT,40229492.88,40229492.88,VND,CR,2025-09-16,CASHBACK,Cash Back,Cash Back from Metro,MERCH_32300,Metro,posted
TXN_CARD_A_000007_01_000001,CARD_A_000007_01,****-****-****-7030,A_000007,CREDIT,29455665.76,29455665.76,VND,DR,2024-10-20,ONLINE PAYMENT,Payment To Repost,Payment To The Gioi Di Dong Repost,MERCH_44787,The Gioi Di Dong,posted
TXN_CARD_A_000007_01_000002,CARD_A_000007_01,****-****-****-7030,A_000007,CREDIT,66120312.6,66120312.6,VND,DR,2025-04-24,ONLINE PAYMENT,Payment To Repost,Payment To Other Repost,MERCH_26110,Other,posted
TXN_CARD_A_000007_01_000003,CARD_A_000007_01,****-****-****-7030,A_000007,CREDIT,67381458.74,67381458.74,VND,DR,2025-09-09,ONLINE PAYMENT,Payment From Wallet,Payment From Lotte Mart Wallet,MERCH_58255,Lotte Mart,decline service
TXN_CARD_A_000007_01_000004,CARD_A_000007_01,****-****-****-7030,A_000007,CREDIT,33143394.96,33143394.96,VND,DR,2025-09-22,CASH BY CODE,Cash Dispense (Cardless),Cash Withdrawal at Shopee ATM,MERCH_96142,Shopee,posted
TXN_CARD_A_000007_01_000005,CARD_A_000007_01,****-****-****-7030,A_000007,CREDIT,45017705.38,45017705.38,VND,DR,2025-09-29,ONLINE PAYMENT,Payment From Wallet,Payment From Dien May Xanh Wallet,MERCH_67890,Dien May Xanh,posted
TXN_CARD_A_000007_02_000001,CARD_A_000007_02,****-****-****-9636,A_000007,DEBIT,40127528.66,40127528.66,VND,DR,2025-09-13,ONLINE PAYMENT,Payment to Wallet,Payment to Other Wallet,MERCH_50868,Other,posted
TXN_CARD_A_000007_03_000001,CARD_A_000007_03,****-****-****-7542,A_000007,CREDIT,48506696.01,1455200880.3,EUR,CR,2025-09-17,CREDIT,Credit,Credit Refund from Other,MERCH_58776,Other,closed
TXN_CARD_A_000007_04_000001,CARD_A_000007_04,****-****-****-7663,A_000007,CREDIT,20720631.8,20720631.8,VND,DR,2024-12-24,OTHER,Unique,Unique Transaction at Other,MERCH_20009,Other,decline service
TXN_CARD_A_000007_04_000002,CARD_A_000007_04,****-****-****-7663,A_000007,CREDIT,53141685.65,53141685.65,VND,DR,2025-01-12,ONLINE PAYMENT,Payment To Repost,Payment To Gong Cha Repost,MERCH_54217,Gong Cha,posted
TXN_CARD_A_000007_04_000003,CARD_A_000007_04,****-****-****-7663,A_000007,CREDIT,78805745.58,78805745.58,VND,DR,2025-06-06,ATM/POS,ATM 2Prs,ATM Transaction at Chatime,MERCH_81492,Chatime,closed
TXN_CARD_A_000007_04_000004,CARD_A_000007_04,****-****-****-7663,A_000007,CREDIT,55745176.42,1393629410.5,USD,DR,2025-09-14,ATM/POS,ATM,ATM Withdrawal at The Gioi Di Dong,MERCH_63388,The Gioi Di Dong,inactive
TXN_CARD_A_000007_04_000005,CARD_A_000007_04,****-****-****-7663,A_000007,CREDIT,34823215.54,34823215.54,VND,DR,2025-09-27,ONLINE PAYMENT,Payment From Wallet,Payment From The Coffee House Wallet,MERCH_71223,The Coffee House,posted
TXN_CARD_A_000007_04_000006,CARD_A_000007_04,****-****-****-7663,A_000007,CREDIT,20792212.78,20792212.78,VND,CR,2025-09-30,CREDIT,Credit,Credit Refund from Gong Cha,MERCH_27308,Gong Cha,posted
TXN_CARD_A_000008_01_000001,CARD_A_000008_01,****-****-****-9616,A_000008,CREDIT,62227245.98,62227245.98,VND,DR,2025-09-14,ATM/POS,ATM,ATM Withdrawal at Jollibee,MERCH_35885,Jollibee,posted
TXN_CARD_A_000008_01_000002,CARD_A_000008_01,****-****-****-9616,A_000008,CREDIT,86835170.87,2605055126.1000004,EUR,DR,2025-09-20,CASH BY CODE,Cash Dispense (Cardless),Cash Withdrawal at BigC ATM,MERCH_73920,BigC,posted
TXN_CARD_A_000008_02_000001,CARD_A_000008_02,****-****-****-2877,A_000008,CREDIT,84621565.57,84621565.57,VND,DR,2025-09-18,ATM/POS,ATM 2Prs,ATM Transaction at Grab,MERCH_14908,Grab,posted
TXN_CARD_A_000008_02_000002,CARD_A_000008_02,****-****-****-2877,A_000008,CREDIT,44462580.76,44462580.76,VND,CR,2025-09-21,CASHBACK,Cash Back,Cash Back from Koi Thé,MERCH_69652,Koi Thé,inactive
TXN_CARD_A_000008_02_000003,CARD_A_000008_02,****-****-****-2877,A_000008,CREDIT,93990711.31,93990711.31,VND,DR,2025-09-26,ONLINE PAYMENT,Repost Retail,Tiki Retail Payment,MERCH_99492,Tiki,posted
TXN_CARD_A_000008_02_000004,CARD_A_000008_02,****-****-****-2877,A_000008,CREDIT,96064704.03,96064704.03,VND,CR,2025-09-26,CASHBACK,Cash Back,Cash Back from Other,MERCH_36020,Other,posted
TXN_CARD_A_000008_02_000005,CARD_A_000008_02,****-****-****-2877,A_000008,CREDIT,53120884.93,53120884.93,VND,DR,2025-09-27,ONLINE PAYMENT,Payment From Wallet,Payment From The Gioi Di Dong Wallet,MERCH_43203,The Gioi Di Dong,decline service
TXN_CARD_A_000008_02_000006,CARD_A_000008_02,****-****-****-2877,A_000008,CREDIT,38950871.95,38950871.95,VND,DR,2025-09-28,ATM/POS,ATM,ATM Withdrawal at VinMart,MERCH_16182,VinMart,decline service
TXN_CARD_A_000008_03_000001,CARD_A_000008_03,****-****-****-8561,A_000008,CREDIT,42333750.01,42333750.01,VND,CR,2024-10-01,CASHBACK,Cash Back,Cash Back from Other,MERCH_87006,Other,inactive
TXN_CARD_A_000008_03_000002,CARD_A_000008_03,****-****-****-8561,A_000008,CREDIT,61911502.32,61911502.32,VND,CR,2025-09-16,CREDIT,Payment To Credit Card,Credit Card Payment to Ding Tea,MERCH_25083,Ding Tea,posted
TXN_CARD_A_000008_04_000001,CARD_A_000008_04,****-****-****-2242,A_000008,DEBIT,71294626.61,71294626.61,VND,DR,2025-09-01,ATM/POS,ATM,ATM Withdrawal at Other,MERCH_53346,Other,posted
TXN_CARD_A_000008_04_000002,CARD_A_000008_04,****-****-****-2242,A_000008,DEBIT,24958226.8,24958226.8,VND,DR,2025-09-15,ONLINE PAYMENT,Repost Retail,Shopee Retail Payment,MERCH_50182,Shopee,posted
TXN_CARD_A_000008_04_000003,CARD_A_000008_04,****-****-****-2242,A_000008,DEBIT,81846432.08,81846432.08,VND,DR,2025-09-15,ATM/POS,ATM 2Prs,ATM Transaction at Trung Nguyen Coffee,MERCH_24091,Trung Nguyen Coffee,posted
TXN_CARD_A_000008_04_000004,CARD_A_000008_04,****-****-****-2242,A_000008,DEBIT,30482028.59,30482028.59,VND,DR,2025-09-17,ONLINE PAYMENT,Repost Retail,Other Retail Payment,MERCH_49188,Other,posted
TXN_CARD_A_000008_04_000005,CARD_A_000008_04,****-****-****-2242,A_000008,DEBIT,52406335.28,1310158382.0,USD,DR,2025-09-25,ONLINE PAYMENT,Payment To Repost,Payment To Dien May Xanh Repost,MERCH_22317,Dien May Xanh,posted
TXN_CARD_A_000008_04_000006,CARD_A_000008_04,****-****-****-2242,A_000008,DEBIT,65660727.25,65660727.25,VND,DR,2025-09-28,ONLINE PAYMENT,Payment To Repost,Payment To Other Repost,MERCH_79459,Other,posted
TXN_CARD_A_000009_01_000001,CARD_A_000009_01,****-****-****-1122,A_000009,CREDIT,41439467.54,41439467.54,VND,DR,2025-09-15,CASH BY CODE,Cash Dispense (Cardless),Cash Withdrawal at Other ATM,MERCH_72349,Other,posted
TXN_CARD_A_000009_02_000001,CARD_A_000009_02,****-****-****-2832,A_000009,CREDIT,27032624.16,27032624.16,VND,DR,2025-09-28,CASH BY CODE,Cash Dispense (Cardless),Cash Withdrawal at Trung Nguyen Coffee ATM,MERCH_27039,Trung Nguyen Coffee,posted
TXN_CARD_A_000009_03_000001,CARD_A_000009_03,****-****-****-4397,A_000009,CREDIT,23030519.52,575762988.0,USD,DR,2020-07-30,CASH BY CODE,Cash Dispense (Cardless),Cash Withdrawal at Tiki ATM,MERCH_40935,Tiki,posted
TXN_CARD_A_000009_03_000002,CARD_A_000009_03,****-****-****-4397,A_000009,CREDIT,89927802.83,89927802.83,VND,DR,2021-12-10,ONLINE PAYMENT,Payment To Repost,Payment To Tiki Repost,MERCH_54135,Tiki,posted
