customer_code,full_name,gender,dob,city,marital_status,nationality,occupation,income_range,income_currency,source_of_income,status,customer_segment
Y_000047,Hoàng Thị Em,Nữ,1999-10-05 21:50:13.459040,Thừa Thiên Huế,Kết hôn,Việt Nam,Nhân viên văn phòng,20-50 triệu,VND,Lương,Active,Y
Y_000271,Võ Văn Phúc,Nam,1970-10-12 21:50:13.459040,Hà Nam,Độc thân,Việt Nam,Nhân viên văn phòng,20-50 triệu,VND,Lương,Active,Y
Y_000213,Hoàng Thị Em,Nữ,1973-10-11 21:50:13.459040,Ninh Thuận,Kết hôn,Việt Nam,Nhân viên văn phòng,10-20 triệu,VND,Lương,Active,Y
X_000096,Phan Thị Oanh,Nữ,1991-10-07 21:50:13.459040,Long An,Kết hôn,Việt Nam,Kinh doanh cá thể,20-50 triệu,VND,Kinh doanh,Active,X
X_000090,Nguyễn Văn An,Nam,1989-10-07 21:50:13.459040,Trà Vinh,Độc thân,Việt Nam,Quản lý / chuyên gia,20-50 triệu,VND,Lương,Active,X
Z_000303,Trần Văn Bình,Nam,2005-10-03 21:50:13.459040,Ninh Thuận,Độc thân,Việt Nam,Công nhân / lao động phổ thông,<10 triệu,VND,Khác,Active,Z
Y_000168,Lý Văn Nam,Nam,1976-10-10 21:50:13.460016,Đà Nẵng,Kết hôn,Việt Nam,Nhân viên văn phòng,10-20 triệu,VND,Kinh doanh,Inactive,Y
Z_000350,Hồ Văn Khoa,Nam,2005-10-03 21:50:13.460016,TP. Hồ Chí Minh,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",10-20 triệu,VND,Lương,Active,Z
Y_000085,Nguyễn Văn An,Nam,1986-10-08 21:50:13.460016,Vĩnh Phúc,Kết hôn,Việt Nam,Nhân viên văn phòng,10-20 triệu,VND,Lương,Inactive,Y
Z_000168,Lý Thị Nam,Nữ,1952-10-16 21:50:13.460016,Kiên Giang,Độc thân,Việt Nam,Nhân viên văn phòng,<10 triệu,VND,Khác,Active,Z
Z_000215,Hoàng Văn Em,Nam,1961-10-14 21:50:13.460016,Lâm Đồng,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Closed,Z
X_000006,Chu Văn Tài,Nam,1987-10-08 21:50:13.460016,Bà Rịa - Vũng Tàu,Kết hôn,Việt Nam,Quản lý / chuyên gia,>50 triệu,VND,Kinh doanh,Active,X
Z_000231,Hồ Thị Khoa,Nữ,1960-10-14 21:50:13.460016,An Giang,Kết hôn,Việt Nam,Nhân viên văn phòng,<10 triệu,VND,Khác,Active,Z
Z_000049,Chu Thị Tài,Nữ,1950-10-17 21:50:13.460016,Hà Tĩnh,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
X_000082,Lưu Văn Sơn,Nam,1987-10-08 21:50:13.460016,Thái Nguyên,Độc thân,Việt Nam,Quản lý / chuyên gia,>50 triệu,VND,Đầu tư,Active,X
Y_000064,Chu Văn Tài,Nam,1973-10-11 21:50:13.460016,Bắc Ninh,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,10-20 triệu,VND,Kinh doanh,Active,Y
Z_000142,Đinh Thị Quang,Nữ,2001-10-04 21:50:13.460016,Thái Nguyên,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",10-20 triệu,USD,Khác,Active,Z
X_000062,Lưu Thị Sơn,Nữ,1996-10-05 21:50:13.460016,Bình Dương,Độc thân,Việt Nam,Kinh doanh cá thể,>50 triệu,VND,Lương,Active,X
Z_000112,Phạm Văn Dũng,Nam,1948-10-17 21:50:13.460016,TP. Hồ Chí Minh,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Inactive,Z
X_000058,Trần Thị Bình,Nữ,1994-10-06 21:50:13.460016,Gia Lai,Độc thân,Việt Nam,Quản lý / chuyên gia,20-50 triệu,VND,Kinh doanh,Active,X
Z_000188,Vũ Văn Phong,Nam,2005-10-03 21:50:13.460016,Cà Mau,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",10-20 triệu,VND,Lương,Active,Z
X_000057,Đinh Thị Quang,Nữ,1992-10-06 21:50:13.460016,Nam Định,Kết hôn,Việt Nam,Quản lý / chuyên gia,>50 triệu,VND,Kinh doanh,Active,X
Z_000104,Lý Văn Nam,Nam,1962-10-14 21:50:13.460016,Quảng Ngãi,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Active,Z
Y_000176,Đỗ Thị Hùng,Nữ,1996-10-05 21:50:13.460016,Kiên Giang,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,20-50 triệu,VND,Lương,Active,Y
X_000009,Vũ Thị Phong,Nữ,1997-10-05 21:50:13.460016,Kiên Giang,Độc thân,Việt Nam,Quản lý / chuyên gia,20-50 triệu,VND,Kinh doanh,Active,X
Z_000285,Ngô Văn Long,Nam,1964-10-13 21:50:13.460016,Đồng Tháp,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Active,Z
Z_000035,Nguyễn Văn An,Nam,1961-10-14 21:50:13.460016,Long An,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,10-20 triệu,VND,Lương,Active,Z
Z_000239,Vũ Thị Phong,Nữ,1963-10-14 21:50:13.460016,Long An,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Active,Z
Z_000041,Bùi Thị Hải,Nữ,1964-10-13 21:50:13.460016,Cà Mau,Kết hôn,Việt Nam,Nhân viên văn phòng,<10 triệu,VND,Khác,Active,Z
Z_000286,Trần Thị Bình,Nữ,2003-10-04 21:50:13.460016,Bắc Giang,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Active,Z
Y_000091,Vũ Thị Phong,Nữ,1988-10-07 21:50:13.460016,Thái Nguyên,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,10-20 triệu,VND,Lương,Active,Y
Z_000065,Nguyễn Văn An,Nam,2001-10-04 21:50:13.460016,Điện Biên,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
Z_000293,Lê Thị Cường,Nữ,2007-10-03 21:50:13.460016,Bến Tre,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",10-20 triệu,VND,Lương,Active,Z
Z_000410,Võ Văn Phúc,Nam,2003-10-04 21:50:13.460016,Cao Bằng,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
Y_000273,Lưu Thị Sơn,Nữ,1972-10-11 21:50:13.460016,Ninh Bình,Độc thân,Việt Nam,Nhân viên văn phòng,20-50 triệu,VND,Lương,Active,Y
Z_000348,Vũ Văn Phong,Nam,2006-10-03 21:50:13.460016,Bắc Ninh,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Active,Z
Z_000079,Phạm Văn Dũng,Nam,2007-10-03 21:50:13.460016,Đắk Lắk,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
Z_000019,Chu Thị Tài,Nữ,1956-10-15 21:50:13.460016,Hậu Giang,Độc thân,Việt Nam,Công nhân / lao động phổ thông,10-20 triệu,USD,Lương,Active,Z
X_000131,Bùi Thị Hải,Nữ,1986-10-08 21:50:13.460016,Kiên Giang,Độc thân,Việt Nam,Kinh doanh cá thể,20-50 triệu,VND,Đầu tư,Closed,X
Z_000381,Trần Thị Bình,Nữ,2005-10-03 21:50:13.460016,Khánh Hòa,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",10-20 triệu,VND,Khác,Active,Z
Z_000007,Dương Văn Minh,Nam,2003-10-04 21:50:13.460016,Hải Dương,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
Z_000382,Tôn Văn Rồng,Nam,1968-10-12 21:50:13.460016,Thanh Hóa,Độc thân,Việt Nam,Nhân viên văn phòng,10-20 triệu,VND,Khác,Active,Z
Z_000405,Tôn Thị Rồng,Nữ,2004-10-03 21:50:13.460016,Hòa Bình,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
Z_000211,Đỗ Thị Hùng,Nữ,1952-10-16 21:50:13.460016,Yên Bái,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Inactive,Z
Y_000072,Đỗ Văn Hùng,Nam,2005-10-03 21:50:13.460016,Đồng Tháp,Độc thân,Việt Nam,Nhân viên văn phòng,10-20 triệu,VND,Lương,Active,Y
Z_000406,Lê Thị Cường,Nữ,1963-10-14 21:50:13.460016,Quảng Bình,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
Y_000195,Trần Văn Bình,Nam,1975-10-11 21:50:13.460016,Vĩnh Long,Độc thân,Việt Nam,Nhân viên văn phòng,20-50 triệu,VND,Lương,Active,Y
Z_000380,Nguyễn Văn An,Nam,1947-10-18 21:50:13.460016,Bình Dương,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,<10 triệu,VND,Khác,Active,Z
Y_000235,Lê Văn Cường,Nam,1973-10-11 21:50:13.460016,Quảng Ngãi,Kết hôn,Việt Nam,Nhân viên văn phòng,10-20 triệu,VND,Lương,Active,Y
Y_000124,Phan Văn Oanh,Nam,1973-10-11 21:50:13.460016,Phú Thọ,Kết hôn,Việt Nam,Nhân viên văn phòng,10-20 triệu,VND,Kinh doanh,Active,Y
Y_000223,Lê Văn Cường,Nam,2005-10-03 21:50:13.460016,Hưng Yên,Độc thân,Việt Nam,Nhân viên văn phòng,10-20 triệu,VND,Lương,Active,Y
Z_000005,Võ Thị Phúc,Nữ,1947-10-18 21:50:13.460016,Lâm Đồng,Độc thân,Việt Nam,Công nhân / lao động phổ thông,<10 triệu,VND,Lương,Active,Z
Y_000254,Nguyễn Văn An,Nam,2004-10-03 21:50:13.460016,Đồng Tháp,Độc thân,Việt Nam,Công nhân / lao động phổ thông,20-50 triệu,VND,Kinh doanh,Active,Y
Z_000053,Đỗ Thị Hùng,Nữ,1954-10-16 21:50:13.460016,Bắc Kạn,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Active,Z
Z_000177,Lý Văn Nam,Nam,2007-10-03 21:50:13.460016,Bến Tre,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Active,Z
Z_000267,Trần Thị Bình,Nữ,2003-10-04 21:50:13.460016,Thái Nguyên,Độc thân,Nước ngoài,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
Y_000107,Bùi Văn Hải,Nam,1983-10-09 21:50:13.460016,Ninh Bình,Độc thân,Việt Nam,Nhân viên văn phòng,20-50 triệu,VND,Lương,Inactive,Y
Z_000481,Trần Văn Bình,Nam,2007-10-03 21:50:13.460016,TP. Hồ Chí Minh,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,<10 triệu,VND,Lương,Inactive,Z
Z_000349,Đặng Văn Giang,Nam,2004-10-03 21:50:13.460016,Đồng Tháp,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
X_000078,Dương Văn Minh,Nam,2000-10-04 21:50:13.460016,Bình Thuận,Độc thân,Việt Nam,Kinh doanh cá thể,20-50 triệu,VND,Lương,Active,X
X_000160,Lý Văn Nam,Nam,1993-10-06 21:50:13.460016,Tiền Giang,Kết hôn,Việt Nam,Kinh doanh cá thể,>50 triệu,VND,Kinh doanh,Inactive,X
Z_000271,Ngô Thị Long,Nữ,2004-10-03 21:50:13.460016,Gia Lai,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
Z_000272,Đinh Văn Quang,Nam,1962-10-14 21:50:13.460016,Hà Nam,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
X_000116,Đinh Văn Quang,Nam,1998-10-05 21:50:13.460016,Phú Yên,Kết hôn,Việt Nam,Quản lý / chuyên gia,20-50 triệu,VND,Đầu tư,Active,X
Z_000205,Hoàng Thị Em,Nữ,1957-10-15 21:50:13.460016,Hưng Yên,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Inactive,Z
Z_000189,Đặng Văn Giang,Nam,2006-10-03 21:50:13.460016,Hưng Yên,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",10-20 triệu,VND,Khác,Active,Z
Z_000247,Lưu Thị Sơn,Nữ,2007-10-03 21:50:13.460016,Bắc Kạn,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Inactive,Z
Z_000117,Võ Thị Phúc,Nữ,2005-10-03 21:50:13.460016,Tây Ninh,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",10-20 triệu,VND,Khác,Active,Z
Z_000138,Đặng Thị Giang,Nữ,1969-10-12 21:50:13.460016,Lạng Sơn,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
X_000002,Nguyễn Thị An,Nữ,1987-10-08 21:50:13.460016,Quảng Bình,Kết hôn,Việt Nam,Kinh doanh cá thể,20-50 triệu,VND,Đầu tư,Active,X
Y_000199,Lý Văn Nam,Nam,1990-10-07 21:50:13.460016,Long An,Kết hôn,Nước ngoài,Nhân viên văn phòng,10-20 triệu,VND,Lương,Active,Y
Z_000414,Lưu Thị Sơn,Nữ,2007-10-03 21:50:13.460016,Cần Thơ,Kết hôn,Nước ngoài,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
Y_000200,Phạm Thị Dũng,Nữ,1985-10-08 21:50:13.460016,Hải Phòng,Độc thân,Nước ngoài,Nhân viên văn phòng,10-20 triệu,VND,Kinh doanh,Active,Y
X_000172,Lương Thị Uy,Nữ,1990-10-07 21:50:13.460016,Bình Định,Độc thân,Việt Nam,Kinh doanh cá thể,20-50 triệu,VND,Kinh doanh,Active,X
Z_000444,Phan Văn Oanh,Nam,1945-10-18 21:50:13.460016,Điện Biên,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
X_000048,Hồ Thị Khoa,Nữ,1988-10-07 21:50:13.460016,Kiên Giang,Độc thân,Việt Nam,Kinh doanh cá thể,20-50 triệu,VND,Lương,Inactive,X
X_000030,Phạm Văn Dũng,Nam,1994-10-06 21:50:13.460016,Hải Dương,Kết hôn,Việt Nam,Quản lý / chuyên gia,20-50 triệu,VND,Lương,Active,X
Z_000415,Đinh Thị Quang,Nữ,1954-10-16 21:50:13.460016,Cà Mau,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",10-20 triệu,VND,Lương,Active,Z
Y_000190,Nguyễn Văn An,Nam,1979-10-10 21:50:13.460016,Ninh Thuận,Độc thân,Việt Nam,Công nhân / lao động phổ thông,10-20 triệu,VND,Kinh doanh,Active,Y
Y_000119,Lý Thị Nam,Nữ,1989-10-07 21:50:13.460016,Hậu Giang,Độc thân,Việt Nam,Công nhân / lao động phổ thông,20-50 triệu,VND,Kinh doanh,Closed,Y
Z_000210,Phan Văn Oanh,Nam,2007-10-03 21:50:13.460016,Ninh Thuận,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,<10 triệu,VND,Lương,Inactive,Z
Y_000080,Vũ Thị Phong,Nữ,2000-10-04 21:50:13.460016,Quảng Nam,Độc thân,Việt Nam,Nhân viên văn phòng,20-50 triệu,VND,Lương,Inactive,Y
Y_000288,Trần Văn Bình,Nam,1985-10-08 21:50:13.460016,Bình Thuận,Kết hôn,Việt Nam,Nhân viên văn phòng,20-50 triệu,VND,Kinh doanh,Active,Y
Z_000495,Chu Thị Tài,Nữ,2004-10-03 21:50:13.460016,Bắc Giang,Độc thân,Việt Nam,Công nhân / lao động phổ thông,<10 triệu,VND,Khác,Active,Z
Y_000077,Đỗ Văn Hùng,Nam,1999-10-05 21:50:13.460016,Lào Cai,Kết hôn,Việt Nam,Nhân viên văn phòng,10-20 triệu,VND,Lương,Active,Y
Z_000346,Võ Thị Phúc,Nữ,1945-10-18 21:50:13.460016,Bến Tre,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
X_000060,Tôn Thị Rồng,Nữ,1985-10-08 21:50:13.460016,Hòa Bình,Kết hôn,Việt Nam,Kinh doanh cá thể,20-50 triệu,VND,Lương,Inactive,X
Z_000387,Phan Thị Oanh,Nữ,2003-10-04 21:50:13.460016,Tây Ninh,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
Z_000115,Phạm Văn Dũng,Nam,1956-10-15 21:50:13.460016,Cao Bằng,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
Z_000257,Dương Văn Minh,Nam,2007-10-03 21:50:13.460016,Đắk Nông,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",10-20 triệu,VND,Khác,Active,Z
Z_000200,Vũ Văn Phong,Nam,2003-10-04 21:50:13.460016,Bình Phước,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",10-20 triệu,VND,Lương,Active,Z
Z_000264,Bùi Văn Hải,Nam,2007-10-03 21:50:13.460016,Hải Phòng,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",10-20 triệu,VND,Lương,Inactive,Z
Y_000126,Lưu Thị Sơn,Nữ,2004-10-03 21:50:13.460016,Bà Rịa - Vũng Tàu,Kết hôn,Việt Nam,Nhân viên văn phòng,20-50 triệu,VND,Lương,Active,Y
Z_000047,Chu Thị Tài,Nữ,2003-10-04 21:50:13.460016,Ninh Thuận,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,<10 triệu,VND,Lương,Active,Z
X_000063,Chu Thị Tài,Nữ,1995-10-06 21:50:13.460016,Thanh Hóa,Kết hôn,Việt Nam,Quản lý / chuyên gia,20-50 triệu,VND,Kinh doanh,Active,X
Y_000174,Hoàng Thị Em,Nữ,1983-10-09 21:50:13.460016,Cần Thơ,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,20-50 triệu,VND,Lương,Active,Y
Y_000192,Đỗ Thị Hùng,Nữ,1986-10-08 21:50:13.460016,Hòa Bình,Kết hôn,Việt Nam,Nhân viên văn phòng,20-50 triệu,VND,Lương,Active,Y
Z_000095,Trần Thị Bình,Nữ,1969-10-12 21:50:13.460016,Khánh Hòa,Độc thân,Việt Nam,Công nhân / lao động phổ thông,10-20 triệu,VND,Lương,Active,Z
X_000105,Hoàng Thị Em,Nữ,1992-10-06 21:50:13.460016,Thái Bình,Kết hôn,Việt Nam,Quản lý / chuyên gia,>50 triệu,VND,Lương,Active,X
X_000014,Phan Thị Oanh,Nữ,1991-10-07 21:50:13.460016,Kiên Giang,Kết hôn,Việt Nam,Quản lý / chuyên gia,>50 triệu,VND,Lương,Inactive,X
Y_000167,Phan Thị Oanh,Nữ,2005-10-03 21:50:13.460016,TP. Hồ Chí Minh,Độc thân,Việt Nam,Công nhân / lao động phổ thông,20-50 triệu,VND,Lương,Active,Y
X_000161,Dương Văn Minh,Nam,1989-10-07 21:50:13.460016,Bà Rịa - Vũng Tàu,Độc thân,Việt Nam,Quản lý / chuyên gia,>50 triệu,VND,Kinh doanh,Closed,X
Z_000182,Đặng Văn Giang,Nam,2001-10-04 21:50:13.460016,Đắk Lắk,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
Y_000002,Vũ Văn Phong,Nam,1979-10-10 21:50:13.460016,Đà Nẵng,Kết hôn,Việt Nam,Nhân viên văn phòng,10-20 triệu,VND,Kinh doanh,Active,Y
Y_000284,Hoàng Thị Em,Nữ,1984-10-08 21:50:13.460016,Thái Bình,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,20-50 triệu,VND,Lương,Active,Y
Z_000012,Chu Văn Tài,Nam,1960-10-14 21:50:13.460016,Hà Giang,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",10-20 triệu,VND,Khác,Active,Z
X_000028,Đỗ Thị Hùng,Nữ,1993-10-06 21:50:13.461007,Hà Nội,Độc thân,Việt Nam,Quản lý / chuyên gia,>50 triệu,VND,Lương,Active,X
Y_000014,Tôn Văn Rồng,Nam,1984-10-08 21:50:13.461007,Lâm Đồng,Kết hôn,Việt Nam,Công nhân / lao động phổ thông,20-50 triệu,VND,Lương,Active,Y
Z_000430,Trần Văn Bình,Nam,2006-10-03 21:50:13.461007,Bình Dương,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
Z_000321,Bùi Văn Hải,Nam,1945-10-18 21:50:13.461007,Điện Biên,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",10-20 triệu,VND,Khác,Active,Z
Y_000177,Ngô Thị Long,Nữ,1991-10-07 21:50:13.461007,Đồng Nai,Độc thân,Việt Nam,Công nhân / lao động phổ thông,10-20 triệu,VND,Kinh doanh,Active,Y
Z_000284,Nguyễn Văn An,Nam,1952-10-16 21:50:13.461007,Quảng Trị,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Active,Z
Y_000136,Võ Thị Phúc,Nữ,1975-10-11 21:50:13.461007,Thừa Thiên Huế,Kết hôn,Việt Nam,Nhân viên văn phòng,10-20 triệu,VND,Lương,Active,Y
X_000153,Lý Thị Nam,Nữ,1994-10-06 21:50:13.461007,Lai Châu,Độc thân,Việt Nam,Quản lý / chuyên gia,>50 triệu,VND,Kinh doanh,Active,X
Y_000171,Hoàng Thị Em,Nữ,1980-10-09 21:50:13.461007,Cao Bằng,Kết hôn,Việt Nam,Nhân viên văn phòng,20-50 triệu,VND,Kinh doanh,Active,Y
Z_000139,Ngô Văn Long,Nam,1970-10-12 21:50:13.461007,Bắc Ninh,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Active,Z
Y_000054,Võ Văn Phúc,Nam,1985-10-08 21:50:13.461007,Sóc Trăng,Kết hôn,Việt Nam,Nhân viên văn phòng,20-50 triệu,VND,Lương,Active,Y
Z_000435,Dương Thị Minh,Nữ,1966-10-13 21:50:13.461007,Thái Bình,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Lương,Active,Z
Z_000448,Hoàng Thị Em,Nữ,2006-10-03 21:50:13.461007,Hậu Giang,Kết hôn,Việt Nam,"Khác (sinh viên, nội trợ…)",10-20 triệu,VND,Khác,Active,Z
Y_000016,Đặng Văn Giang,Nam,1998-10-05 21:50:13.461007,Hà Nội,Độc thân,Việt Nam,Công nhân / lao động phổ thông,10-20 triệu,VND,Lương,Active,Y
Y_000172,Chu Văn Tài,Nam,1980-10-09 21:50:13.461007,Lạng Sơn,Độc thân,Việt Nam,Nhân viên văn phòng,10-20 triệu,VND,Lương,Inactive,Y
Z_000395,Đỗ Văn Hùng,Nam,1960-10-14 21:50:13.461007,Hà Nội,Độc thân,Việt Nam,Công nhân / lao động phổ thông,10-20 triệu,VND,Khác,Active,Z
X_000169,Bùi Thị Hải,Nữ,1996-10-05 21:50:13.461007,Bắc Giang,Kết hôn,Việt Nam,Quản lý / chuyên gia,20-50 triệu,VND,Lương,Active,X
Z_000424,Phạm Văn Dũng,Nam,1948-10-17 21:50:13.461007,Ninh Bình,Độc thân,Việt Nam,Công nhân / lao động phổ thông,10-20 triệu,VND,Lương,Active,Z
X_000168,Ngô Văn Long,Nam,1997-10-05 21:50:13.461007,Trà Vinh,Kết hôn,Việt Nam,Quản lý / chuyên gia,20-50 triệu,VND,Kinh doanh,Active,X
Z_000270,Trần Văn Bình,Nam,2005-10-03 21:50:13.461007,Bắc Ninh,Độc thân,Việt Nam,"Khác (sinh viên, nội trợ…)",<10 triệu,VND,Khác,Closed,Z
Y_000003,Nguyễn Văn An,Nam,1998-10-05 21:50:13.461007,Bình Phước,Kết hôn,Việt Nam,Nhân viên văn phòng,20-50 triệu,VND,Lương,Active,Y
Y_000062,Lương Thị Uy,Nữ,1992-10-06 21:50:13.461007,Quảng Ngãi,Độc thân,Việt Nam,Công nhân / lao động phổ thông,20-50 triệu,VND,Lương,Active,Y
Z_000326,Phạm Thị Dũng,Nữ,1954-10-16 21:50:13.461007,Hòa Bình,Độc thân,Việt Nam,Nhân viên văn phòng,<10 triệu,USD,Lương,Active,Z
